batter,total_runs,total_balls,strike_rate,total_innings,average_per_innings
Arshad Khan (2),5,4,125.0,1,5.0
Arshdeep Singh,29,42,69.05,11,2.64
Ashutosh Sharma,189,118,160.17,9,21.0
Atharva Taide,247,177,139.55,9,27.44
Avesh Khan,41,25,164.0,9,4.56
Azhar Mahmood,388,311,124.76,21,18.48
Azmatullah Omarzai,42,34,123.53,4,10.5
B Akhil,76,57,133.33,11,6.91
B Chipli,280,256,109.38,21,13.33
B Indrajith,21,31,67.74,3,7.0
B Kumar,306,338,90.53,65,4.71
B Laughlin,5,13,38.46,4,1.25
B Lee,124,102,121.57,19,6.53
B Sai Sudharsan,1034,770,134.29,25,41.36
B Stanlake,5,2,250.0,1,5.0
B Sumanth,35,38,92.11,4,8.75
BA Bhatt,6,7,85.71,2,3.0
BA Stokes,935,718,130.22,43,21.74
BAW Mendis,3,6,50.0,3,1.0
BB McCullum,2882,2272,126.85,109,26.44
BB Samantray,125,116,107.76,8,15.62
BB Sran,10,14,71.43,7,1.43
BCJ Cutting,238,146,163.01,17,14.0
BE Hendricks,1,3,33.33,2,0.5
BJ Haddin,18,11,163.64,1,18.0
BJ Hodge,1400,1153,121.42,63,22.22
BJ Rohrer,193,146,132.19,8,24.12
BMAJ Mendis,23,27,85.19,3,7.67
BR Dunk,40,36,111.11,3,13.33
BR Sharath,2,5,40.0,1,2.0
Basil Thampi,32,37,86.49,7,4.57
Bipul Sharma,187,124,150.81,17,11.0
C Green,707,472,149.79,28,25.25
C Madan,15,21,71.43,1,15.0
C Munro,177,144,122.92,11,16.09
C Nanda,0,1,0.0,1,0.0
C Sakariya,20,31,64.52,7,2.86
C de Grandhomme,303,229,132.31,21,14.43
CA Ingram,205,183,112.02,15,13.67
CA Lynn,1329,974,136.45,42,31.64
CA Pujara,390,403,96.77,22,17.73
CH Gayle,4997,3516,142.12,141,35.44
CH Morris,618,413,149.64,49,12.61
CJ Anderson,538,436,123.39,29,18.55
CJ Ferguson,98,119,82.35,8,12.25
CJ Jordan,81,81,100.0,12,6.75
CJ McKay,8,15,53.33,1,8.0
CK Kapugedera,16,24,66.67,3,5.33
CK Langeveldt,8,9,88.89,2,4.0
CL White,971,774,125.45,45,21.58
CM Gautam,169,158,106.96,13,13.0
CR Brathwaite,181,120,150.83,14,12.93
CR Woakes,78,77,101.3,12,6.5
CRD Fernando,4,3,133.33,2,2.0
CV Varun,25,49,51.02,10,2.5
D Brevis,230,176,130.68,10,23.0
D Ferreira,8,11,72.73,2,4.0
D Kalyankrishna,3,8,37.5,1,3.0
D Padikkal,1559,1323,117.84,64,24.36
D Pretorius,44,28,157.14,5,8.8
D Salunkhe,33,24,137.5,3,11.0
D Wiese,148,105,140.95,11,13.45
D du Preez,10,13,76.92,1,10.0
DA Miller,2924,2171,134.68,123,23.77
DA Warner,6567,4849,135.43,184,35.69
DAJ Bracewell,12,9,133.33,1,12.0
DB Das,304,267,113.86,22,13.82
DB Ravi Teja,375,325,115.38,25,15.0
DE Bollinger,21,23,91.3,4,5.25
DG Nalkande,12,12,100.0,2,6.0
DH Yagnik,170,142,119.72,17,10.0
DJ Bravo,1560,1247,125.1,110,14.18
DJ Harris,111,103,107.77,4,27.75
DJ Hooda,1466,1170,125.3,96,15.27
DJ Hussey,1322,1101,120.07,61,21.67
DJ Jacobs,92,101,91.09,7,13.14
DJ Malan,26,26,100.0,1,26.0
DJ Mitchell,351,274,128.1,15,23.4
DJ Muthuswami,1,3,33.33,1,1.0
DJ Thornely,39,54,72.22,4,9.75
DJ Willey,53,64,82.81,5,10.6
DJG Sammy,295,251,117.53,20,14.75
DJM Short,115,102,112.75,7,16.43
DL Chahar,80,61,131.15,12,6.67
DL Vettori,121,118,102.54,16,7.56
DM Bravo,6,5,120.0,1,6.0
DNT Zoysa,11,9,122.22,2,5.5
DP Conway,924,669,138.12,22,42.0
DP Nannes,4,13,30.77,2,2.0
